Tempo,Output
0.0000000e+00,   0.0000000e+00
   1.9800000e-01,   1.2580000e+00
   3.9600000e-01,   2.4593000e+00
   5.9410000e-01,   3.6066000e+00
   7.9210000e-01,   4.7022000e+00
   9.9010000e-01,   5.7485000e+00
   1.1881000e+00,   6.7478000e+00
   1.3862000e+00,   7.7020000e+00
   1.5842000e+00,   8.6133000e+00
   1.7822000e+00,   9.4836000e+00
   1.9802000e+00,   1.0314700e+01
   2.1782000e+00,   1.1108500e+01
   2.3763000e+00,   1.1866500e+01
   2.5743000e+00,   1.2590300e+01
   2.7723000e+00,   1.3281600e+01
   2.9703000e+00,   1.3941800e+01
   3.1684000e+00,   1.4572300e+01
   3.3664000e+00,   1.5174400e+01
   3.5644000e+00,   1.5749400e+01
   3.7624000e+00,   1.6298500e+01
   3.9604000e+00,   1.6822900e+01
   4.1585000e+00,   1.7323700e+01
   4.3565000e+00,   1.7802000e+01
   4.5545000e+00,   1.8258700e+01
   4.7525000e+00,   1.8694900e+01
   4.9506000e+00,   1.9111400e+01
   5.1486000e+00,   1.9509200e+01
   5.3466000e+00,   1.9889100e+01
   5.5446000e+00,   2.0251900e+01
   5.7426000e+00,   2.0598400e+01
   5.9407000e+00,   2.0929300e+01
   6.1387000e+00,   2.1245300e+01
   6.3367000e+00,   2.1547000e+01
   6.5347000e+00,   2.1835200e+01
   6.7328000e+00,   2.2110400e+01
   6.9308000e+00,   2.2373200e+01
   7.1288000e+00,   2.2624200e+01
   7.3268000e+00,   2.2863900e+01
   7.5248000e+00,   2.3092800e+01
   7.7229000e+00,   2.3311500e+01
   7.9209000e+00,   2.3520200e+01
   8.1189000e+00,   2.3719600e+01
   8.3169000e+00,   2.3910000e+01
   8.5150000e+00,   2.4091800e+01
   8.7130000e+00,   2.4265500e+01
   8.9110000e+00,   2.4431300e+01
   9.1090000e+00,   2.4589700e+01
   9.3070000e+00,   2.4740900e+01
   9.5051000e+00,   2.4885300e+01
   9.7031000e+00,   2.5023300e+01
   9.9011000e+00,   2.5155000e+01
   1.0099100e+01,   2.5280800e+01
   1.0297200e+01,   2.5400900e+01
   1.0495200e+01,   2.5515700e+01
   1.0693200e+01,   2.5625200e+01
   1.0891200e+01,   2.5729900e+01
   1.1089200e+01,   2.5829800e+01
   1.1287300e+01,   2.5925200e+01
   1.1485300e+01,   2.6016300e+01
   1.1683300e+01,   2.6103400e+01
   1.1881300e+01,   2.6186500e+01
   1.2079400e+01,   2.6265800e+01
   1.2277400e+01,   2.6341600e+01
   1.2475400e+01,   2.6414000e+01
   1.2673400e+01,   2.6483200e+01
   1.2871500e+01,   2.6549200e+01
   1.3069500e+01,   2.6612200e+01
   1.3267500e+01,   2.6672400e+01
   1.3465500e+01,   2.6729900e+01
   1.3663500e+01,   2.6784900e+01
   1.3861600e+01,   2.6837300e+01
   1.4059600e+01,   2.6887400e+01
   1.4257600e+01,   2.6935200e+01
   1.4455600e+01,   2.6980900e+01
   1.4653700e+01,   2.7024500e+01
   1.4851700e+01,   2.7066100e+01
   1.5049700e+01,   2.7105900e+01
   1.5247700e+01,   2.7143900e+01
   1.5445700e+01,   2.7180200e+01
   1.5643800e+01,   2.7214800e+01
   1.5841800e+01,   2.7247900e+01
   1.6039800e+01,   2.7279500e+01
   1.6237800e+01,   2.7309700e+01
   1.6435900e+01,   2.7338500e+01
   1.6633900e+01,   2.7366000e+01
   1.6831900e+01,   2.7392300e+01
   1.7029900e+01,   2.7417400e+01
   1.7227900e+01,   2.7441400e+01
   1.7426000e+01,   2.7464300e+01
   1.7624000e+01,   2.7486100e+01
   1.7822000e+01,   2.7507000e+01
   1.8020000e+01,   2.7527000e+01
   1.8218100e+01,   2.7546000e+01
   1.8416100e+01,   2.7564200e+01
   1.8614100e+01,   2.7581500e+01
   1.8812100e+01,   2.7598100e+01
   1.9010100e+01,   2.7614000e+01
   1.9208200e+01,   2.7629100e+01
   1.9406200e+01,   2.7643500e+01
   1.9604200e+01,   2.7657300e+01
   1.9802200e+01,   2.7670500e+01
   2.0000300e+01,   2.7683100e+01
   2.0198300e+01,   2.7695100e+01
   2.0396300e+01,   2.7706600e+01
   2.0594300e+01,   2.7717500e+01
   2.0792300e+01,   2.7728000e+01
   2.0990400e+01,   2.7738000e+01
   2.1188400e+01,   2.7747500e+01
   2.1386400e+01,   2.7756600e+01
   2.1584400e+01,   2.7765300e+01
   2.1782500e+01,   2.7773600e+01
   2.1980500e+01,   2.7781600e+01
   2.2178500e+01,   2.7789200e+01
   2.2376500e+01,   2.7796400e+01
   2.2574500e+01,   2.7803300e+01
   2.2772600e+01,   2.7809900e+01
   2.2970600e+01,   2.7816200e+01
   2.3168600e+01,   2.7822200e+01
   2.3366600e+01,   2.7828000e+01
   2.3564700e+01,   2.7833500e+01
   2.3762700e+01,   2.7838700e+01
   2.3960700e+01,   2.7843700e+01
   2.4158700e+01,   2.7848500e+01
   2.4356700e+01,   2.7853100e+01
   2.4554800e+01,   2.7857400e+01
   2.4752800e+01,   2.7861600e+01
   2.4950800e+01,   2.7865600e+01
   2.5148800e+01,   2.7869400e+01
   2.5346900e+01,   2.7873000e+01
   2.5544900e+01,   2.7876500e+01
   2.5742900e+01,   2.7879800e+01
   2.5940900e+01,   2.7883000e+01
   2.6138900e+01,   2.7886000e+01
   2.6337000e+01,   2.7888900e+01
   2.6535000e+01,   2.7891600e+01
