Tempo,Output
0.0000000e+00,   0.0000000e+00
   4.7200000e-02,   1.6200000e-02
   9.4500000e-02,   6.2500000e-02
   1.4170000e-01,   1.3540000e-01
   1.8890000e-01,   2.3080000e-01
   2.3620000e-01,   3.4490000e-01
   2.8340000e-01,   4.7350000e-01
   3.3060000e-01,   6.1260000e-01
   3.7790000e-01,   7.5840000e-01
   4.2510000e-01,   9.0710000e-01
   4.7230000e-01,   1.0553000e+00
   5.1960000e-01,   1.2000000e+00
   5.6680000e-01,   1.3383000e+00
   6.1400000e-01,   1.4678000e+00
   6.6130000e-01,   1.5867000e+00
   7.0850000e-01,   1.6933000e+00
   7.5570000e-01,   1.7863000e+00
   8.0300000e-01,   1.8651000e+00
   8.5020000e-01,   1.9292000e+00
   8.9740000e-01,   1.9785000e+00
   9.4470000e-01,   2.0133000e+00
   9.9190000e-01,   2.0342000e+00
   1.0391000e+00,   2.0418000e+00
   1.0863000e+00,   2.0372000e+00
   1.1336000e+00,   2.0216000e+00
   1.1808000e+00,   1.9963000e+00
   1.2280000e+00,   1.9626000e+00
   1.2753000e+00,   1.9221000e+00
   1.3225000e+00,   1.8762000e+00
   1.3697000e+00,   1.8263000e+00
   1.4170000e+00,   1.7738000e+00
   1.4642000e+00,   1.7201000e+00
   1.5114000e+00,   1.6665000e+00
   1.5587000e+00,   1.6141000e+00
   1.6059000e+00,   1.5638000e+00
   1.6531000e+00,   1.5166000e+00
   1.7004000e+00,   1.4732000e+00
   1.7476000e+00,   1.4342000e+00
   1.7948000e+00,   1.4000000e+00
   1.8421000e+00,   1.3710000e+00
   1.8893000e+00,   1.3472000e+00
   1.9365000e+00,   1.3288000e+00
   1.9838000e+00,   1.3157000e+00
   2.0310000e+00,   1.3076000e+00
   2.0782000e+00,   1.3044000e+00
   2.1255000e+00,   1.3056000e+00
   2.1727000e+00,   1.3108000e+00
   2.2199000e+00,   1.3196000e+00
   2.2672000e+00,   1.3314000e+00
   2.3144000e+00,   1.3458000e+00
   2.3616000e+00,   1.3622000e+00
   2.4089000e+00,   1.3801000e+00
   2.4561000e+00,   1.3990000e+00
   2.5033000e+00,   1.4183000e+00
   2.5506000e+00,   1.4377000e+00
   2.5978000e+00,   1.4567000e+00
   2.6450000e+00,   1.4750000e+00
   2.6923000e+00,   1.4922000e+00
   2.7395000e+00,   1.5080000e+00
   2.7867000e+00,   1.5223000e+00
   2.8340000e+00,   1.5348000e+00
   2.8812000e+00,   1.5455000e+00
   2.9284000e+00,   1.5543000e+00
   2.9756000e+00,   1.5612000e+00
   3.0229000e+00,   1.5661000e+00
   3.0701000e+00,   1.5693000e+00
   3.1173000e+00,   1.5706000e+00
   3.1646000e+00,   1.5704000e+00
   3.2118000e+00,   1.5686000e+00
   3.2590000e+00,   1.5656000e+00
   3.3063000e+00,   1.5614000e+00
   3.3535000e+00,   1.5563000e+00
   3.4007000e+00,   1.5505000e+00
   3.4480000e+00,   1.5440000e+00
   3.4952000e+00,   1.5373000e+00
   3.5424000e+00,   1.5303000e+00
   3.5897000e+00,   1.5233000e+00
   3.6369000e+00,   1.5164000e+00
   3.6841000e+00,   1.5097000e+00
   3.7314000e+00,   1.5035000e+00
   3.7786000e+00,   1.4977000e+00
   3.8258000e+00,   1.4925000e+00
   3.8731000e+00,   1.4879000e+00
   3.9203000e+00,   1.4839000e+00
   3.9675000e+00,   1.4807000e+00
   4.0148000e+00,   1.4781000e+00
   4.0620000e+00,   1.4763000e+00
   4.1092000e+00,   1.4751000e+00
   4.1565000e+00,   1.4745000e+00
   4.2037000e+00,   1.4745000e+00
   4.2509000e+00,   1.4751000e+00
   4.2982000e+00,   1.4762000e+00
   4.3454000e+00,   1.4776000e+00
   4.3926000e+00,   1.4794000e+00
   4.4399000e+00,   1.4815000e+00
   4.4871000e+00,   1.4838000e+00
   4.5343000e+00,   1.4863000e+00
   4.5816000e+00,   1.4888000e+00
   4.6288000e+00,   1.4913000e+00
   4.6760000e+00,   1.4938000e+00
   4.7233000e+00,   1.4962000e+00
   4.7705000e+00,   1.4985000e+00
   4.8177000e+00,   1.5006000e+00
   4.8649000e+00,   1.5025000e+00
   4.9122000e+00,   1.5042000e+00
   4.9594000e+00,   1.5057000e+00
   5.0066000e+00,   1.5069000e+00
   5.0539000e+00,   1.5078000e+00
   5.1011000e+00,   1.5085000e+00
   5.1483000e+00,   1.5090000e+00
   5.1956000e+00,   1.5092000e+00
   5.2428000e+00,   1.5092000e+00
   5.2900000e+00,   1.5090000e+00
   5.3373000e+00,   1.5087000e+00
   5.3845000e+00,   1.5081000e+00
   5.4317000e+00,   1.5075000e+00
   5.4790000e+00,   1.5068000e+00
   5.5262000e+00,   1.5059000e+00
   5.5734000e+00,   1.5051000e+00
   5.6207000e+00,   1.5042000e+00
   5.6679000e+00,   1.5032000e+00
   5.7151000e+00,   1.5023000e+00
   5.7624000e+00,   1.5015000e+00
   5.8096000e+00,   1.5006000e+00
   5.8568000e+00,   1.4999000e+00
   5.9041000e+00,   1.4992000e+00
   5.9513000e+00,   1.4985000e+00
